model_name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
n16_c2_s101,-2.570346,-1.281309,-1.206201,-0.157429,-0.114976,-0.029375,0.035476,0.001242
n16_c2_s102,0.829825,0.413524,0.389306,-0.808504,-0.615029,-0.152382,0.110575,0.003941
n16_c2_s103,2.171801,1.08893,1.024142,-0.437944,-0.359841,-0.084196,-0.068496,-0.002312
n24_c4_s201,-0.297004,-0.147316,-0.138793,-0.296256,-0.227408,-0.055963,-0.052254,-0.00185
n24_c4_s202,0.327427,0.159621,0.150812,0.305528,0.245131,0.058371,-0.024031,-0.000916
n24_c4_s203,1.672569,0.756319,0.723761,0.398523,0.591101,0.092942,0.052178,0.000516
n32_c4_s301,0.455267,0.384756,0.338209,0.624687,-0.12295,0.080708,0.090446,0.005999
n32_c4_s302,1.480057,-0.466743,-0.254613,-0.241671,0.202402,-0.004817,0.068497,-0.000214
n32_c4_s303,-0.40425,0.081989,0.112354,-0.124486,0.098155,-0.000891,0.277852,-0.003364
n48_c4_s401,-0.051737,0.139772,-0.107341,0.769126,-0.404858,-0.044494,-0.020702,0.001403
n48_c4_s402,0.38762,-0.701488,0.478722,1.208543,-0.302726,-0.152615,0.008304,0.002287
n48_c4_s403,1.771657,-0.102143,-0.734541,0.719367,-0.60426,0.014338,0.044656,-0.007452
n32_c6_s501,3.946595,-1.675552,-0.272935,-0.118693,0.606855,-0.128153,-0.007948,0.000714
n16_c4_s601,-3.004391,0.039064,1.371949,0.297616,0.551437,-0.192844,0.009812,-0.003147
n32_c4_spur_s301,-0.189131,-1.990495,1.962795,-0.239135,-0.447464,0.156037,-0.002493,-0.000903
