measurement,family,n16_c2_s101,n16_c2_s102,n16_c2_s103,n24_c4_s201,n24_c4_s202,n24_c4_s203,n32_c4_s301,n32_c4_s302,n32_c4_s303,n48_c4_s401,n48_c4_s402,n48_c4_s403,n32_c6_s501,n16_c4_s601,n32_c4_spur_s301
SymmetryProfile + Certificate:layer_divergence,n16_c2,1.064735,1.074128,1.072607,0.727287,0.667206,0.712051,0.69396,0.730942,0.568976,0.760751,0.835859,0.803932,0.692183,0.823603,0.69396
SymmetryProfile + Certificate:data_profile_mean,n16_c2,0.289011,0.289011,0.289011,0.858607,0.858607,0.858607,1.051393,1.051393,1.051393,1.778188,1.778188,1.778188,1.237247,0.541745,1.051393
SymmetryProfile + Certificate:fidelity,n16_c2,0.484324,0.48213,0.482484,0.578943,0.599806,0.584095,0.590333,0.57772,0.637358,0.56794,0.544704,0.554345,0.590953,0.548365,0.590333
Breakthrough Experiment:zeroshot_accuracy,n16_c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breakthrough Experiment:experiment_success,n16_c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breakthrough Experiment:cross_domain_accuracy,n16_c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breakthrough Experiment:pacbayes_bound,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Algebra Quivers:edge_density,n16_c2,0.710938,0.710938,0.710938,0.725694,0.725694,0.725694,0.755859,0.755859,0.755859,0.686632,0.686632,0.686632,0.548828,0.679688,0.755859
Algebra Quivers:spectral_radius,n16_c2,0.928571,0.928571,0.928571,0.946124,0.946124,0.946124,0.960786,0.960786,0.960786,0.97073,0.97073,0.97073,0.947355,0.917087,0.960786
Algebra Quivers:n_edges,n16_c2,182.0,182.0,182.0,418.0,418.0,418.0,774.0,774.0,774.0,1582.0,1582.0,1582.0,562.0,174.0,774.0
Algebra Quivers:spectral_stability,n16_c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kripke Semantics:monotonic,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Kripke Semantics:bot_holds,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kripke Semantics:imply_ratio,n16_c2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Kripke Semantics:top_holds,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Theoretical Metrics:rissanen_mdl,n16_c2,0.016843,0.016843,0.016843,0.050392,0.050392,0.050392,0.067027,0.067027,0.067027,0.100298,0.100298,0.100298,0.08667,0.033756,0.067027
Theoretical Metrics:empirical_accuracy,n16_c2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5
Theoretical Metrics:generalization_gap,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Theoretical Metrics:rademacher,n16_c2,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.08165,0.125,0.125
Theoretical Metrics:pac_bayes,n16_c2,1.0,1.0,1.0,0.666941,0.666941,0.666941,0.666941,0.666941,0.666941,0.666941,0.666941,0.666941,0.478601,0.666941,0.666941
Theoretical Metrics:effective_complexity,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WDW Autoencoder:reconstruction_error,n16_c2,0.199524,0.199524,0.199524,0.16937,0.16937,0.16937,0.150103,0.150103,0.150103,0.126053,0.126053,0.126053,0.150069,0.199868,0.150103
WDW Autoencoder:krylov_complexity,n16_c2,0.451707,0.451707,0.451707,0.4454,0.4454,0.4454,0.443153,0.443153,0.443153,0.441155,0.441155,0.441155,0.440903,0.445124,0.443153
WDW Autoencoder:accuracy,n16_c2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Unified Pipeline:pipeline_success,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Unified Pipeline:recovery_ratio,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Unified Pipeline:signal_preservation,n16_c2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
