model,family,n,n_classes,seed,acc_id,ood_freq,ood_noise,ood_lowamp,deploy,logit_div,pc1,pc2
n16_c2_s101,n16_c2,16,2,101,100.0,48.0,54.9,44.0,0.747,0.463226,-2.570346,-1.281309
n16_c2_s102,n16_c2,16,2,102,100.0,48.0,56.3,44.0,0.7459,0.463174,0.829825,0.413524
n16_c2_s103,n16_c2,16,2,103,100.0,47.0,56.3,41.0,0.7461,0.463206,2.171801,1.08893
n24_c4_s201,n24_c4,24,4,201,100.0,37.0,29.6,0.0,0.8038,0.160267,-0.297004,-0.147316
n24_c4_s202,n24_c4,24,4,202,100.0,36.0,33.3,0.0,0.8143,0.128481,0.327427,0.159621
n24_c4_s203,n24_c4,24,4,203,100.0,34.0,28.4,0.0,0.8072,0.133337,1.672569,0.756319
n32_c4_s301,n32_c4,32,4,301,100.0,29.0,20.0,0.0,0.8113,0.092256,0.455267,0.384756
n32_c4_s302,n32_c4,32,4,302,100.0,29.0,20.0,15.0,0.8041,0.12502,1.480057,-0.466743
n32_c4_s303,n32_c4,32,4,303,100.0,28.0,21.3,0.0,0.8365,0.011637,-0.40425,0.081989
n48_c4_s401,n48_c4,48,4,401,100.0,31.0,25.3,0.0,0.7946,0.25026,-0.051737,0.139772
n48_c4_s402,n48_c4,48,4,402,100.0,30.0,27.8,0.0,0.7832,0.286806,0.38762,-0.701488
n48_c4_s403,n48_c4,48,4,403,100.0,32.0,26.6,8.0,0.7882,0.257523,1.771657,-0.102143
n32_c6_s501,n32_c6,32,6,501,100.0,0.0,19.5,7.0,0.8062,0.230639,3.946595,-1.675552
n16_c4_s601,n16_c4,16,4,601,100.0,24.0,35.4,0.0,0.7869,0.300099,-3.004391,0.039064
n32_c4_spur_s301,n32_c4,32,4,301,100.0,19.0,20.0,0.0,0.8079,0.166857,-0.189131,-1.990495
