measurement,clean_value,spurious_value
"SymmetryProfile + Certificate:layer_divergence",0.6741060268625254,0.6741060268625254
"SymmetryProfile + Certificate:data_profile_mean",1.0513932520651161,1.0513932520651161
"SymmetryProfile + Certificate:fidelity",0.5973337315284143,0.5973337315284143
"Breakthrough Experiment:zeroshot_accuracy",0.0,0.0
"Breakthrough Experiment:experiment_success",0.0,0.0
"Breakthrough Experiment:cross_domain_accuracy",0.0,0.0
"Breakthrough Experiment:pacbayes_bound",1.0,1.0
"Algebra Quivers:edge_density",0.755859375,0.755859375
"Algebra Quivers:spectral_radius",0.9607864973412714,0.9607864973412714
"Algebra Quivers:n_edges",774.0,774.0
"Algebra Quivers:spectral_stability",0.0,0.0
"Kripke Semantics:monotonic",0.0,0.0
"Kripke Semantics:bot_holds",1.0,1.0
"Kripke Semantics:imply_ratio",0.0,0.0
"Kripke Semantics:top_holds",1.0,1.0
"Theoretical Metrics:rissanen_mdl",0.06702733236014671,0.06702733236014671
"Theoretical Metrics:empirical_accuracy",0.5,0.5
"Theoretical Metrics:generalization_gap",1.0,1.0
"Theoretical Metrics:rademacher",0.125,0.125
"Theoretical Metrics:pac_bayes",0.6669410908139943,0.6669410908139943
"Theoretical Metrics:effective_complexity",1.0,1.0
"WDW Autoencoder:reconstruction_error",0.15010343259997255,0.15010343259997255
"WDW Autoencoder:krylov_complexity",0.44315269944523267,0.44315269944523267
"WDW Autoencoder:accuracy",0.25,0.25
"Unified Pipeline:pipeline_success",1.0,1.0
"Unified Pipeline:recovery_ratio",1.0,1.0
"Unified Pipeline:signal_preservation",1.0,1.0
"Unified Pipeline:s_score",0.8451844931719489,0.8451844931719489
"Finite Sheaves:consistent_gluing",0.0,0.0
"Finite Sheaves:inconsistent_gluing",1.0,1.0
"Finite Sheaves:n_opens",32.0,32.0
"Paper Metrics:dimension",32.0,32.0
"LQG Data Space:n_edges",32.0,32.0
"LQG Data Space:area_ratio",1.0,1.0
"LQG Data Space:relabel_invariant",1.0,1.0
"LQG Data Space:area_information",0.7005988023952096,0.7005988023952096
"Logic DSL:monotonic",0.0,0.0
"Logic DSL:and_imply_truth",0.0,0.0
"Logic DSL:excluded_middle",1.0,1.0
"Multi Dataset:dataset_dimension",32.0,32.0
"Multi Dataset:n_synthetic_samples",50.0,50.0
"Bio Microtubules:order_parameter",0.0,0.0
"Bio Microtubules:lattice_size",32.0,32.0
"Bio Microtubules:soliton_stability",0.9004819766485083,0.9004819766485083
"Bio Microtubules:penrose_tau",0.49999999999975,0.49999999999975
